"fund_name","company_name","net_percentage"
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd.","8.49"
"ICICI Prudential Bluechip Fund","Reliance Industries Ltd.","7.43"
"ICICI Prudential Bluechip Fund","Larsen and Toubro Ltd.","6.8"
"ICICI Prudential Bluechip Fund","Maruti Suzuki India Ltd.","4.79"
"ICICI Prudential Bluechip Fund","Axis Bank Ltd.","4.69"
"ICICI Prudential Bluechip Fund","Infosys Ltd.","4.32"
"ICICI Prudential Bluechip Fund","Bharti Airtel Ltd.","3.98"
"ICICI Prudential Bluechip Fund","Ultratech Cement Ltd.","3.91"
"ICICI Prudential Bluechip Fund","HDFC Bank Ltd.","3.76"
"ICICI Prudential Bluechip Fund","Sun Pharmaceuticals Industries Ltd.","2.47"
"ICICI Prudential Bluechip Fund","Hero MotoCorp Ltd.","2.27"
"ICICI Prudential Bluechip Fund","ITC Ltd.","2.11"
"ICICI Prudential Bluechip Fund","NTPC Ltd.","2.02"
"ICICI Prudential Bluechip Fund","ICICI Prudential Life Insurance Company Ltd.","1.55"
"ICICI Prudential Bluechip Fund","Bharat Petroleum Corporation Ltd.","1.53"
"ICICI Prudential Bluechip Fund","Interglobe Aviation Ltd.","1.42"
"ICICI Prudential Bluechip Fund","Oil & Natural Gas Corporation Ltd.","1.34"
"ICICI Prudential Bluechip Fund","Hindalco Industries Ltd.","1.26"
"ICICI Prudential Bluechip Fund","DLF Ltd.","1.22"
"ICICI Prudential Bluechip Fund","Coal India Ltd.","1.21"
"ICICI Prudential Bluechip Fund","HCL Technologies Ltd.","1.19"
"ICICI Prudential Bluechip Fund","Tech Mahindra Ltd.","1.19"
"ICICI Prudential Bluechip Fund","SBI Life Insurance Co. Ltd.","1.17"
"ICICI Prudential Bluechip Fund","Tata Motors Ltd.","1.17"
"ICICI Prudential Bluechip Fund","Power Grid Corporation of India Ltd.","1.11"
"ICICI Prudential Bluechip Fund","Lupin Ltd.","1.02"
"ICICI Prudential Bluechip Fund","Kotak Mahindra Bank Ltd.","0.99"
"ICICI Prudential Bluechip Fund","Avenue Supermarts Ltd.","0.96"
"ICICI Prudential Bluechip Fund","Procter & Gamble Hygiene and Health Care Ltd.","0.96"
"ICICI Prudential Bluechip Fund","United Breweries Ltd.","0.83"
"ICICI Prudential Bluechip Fund","Siemens Ltd.","0.82"
"ICICI Prudential Bluechip Fund","Hindustan Aeronautics Ltd.","0.82"
"ICICI Prudential Bluechip Fund","United Spirits Ltd.","0.74"
"ICICI Prudential Bluechip Fund","TVS Motor Company Ltd.","0.7"
"ICICI Prudential Bluechip Fund","Mahindra & Mahindra Ltd.","0.68"
"ICICI Prudential Bluechip Fund","Cummins India Ltd.","0.65"
"ICICI Prudential Bluechip Fund","Grasim Industries Ltd.","0.62"
"ICICI Prudential Bluechip Fund","Aurobindo Pharma Ltd.","0.55"
"ICICI Prudential Bluechip Fund","Bajaj Auto Ltd.","0.52"
"ICICI Prudential Bluechip Fund","Trent Ltd.","0.51"
"ICICI Prudential Bluechip Fund","Zydus Lifesciences Ltd.","0.49"
"ICICI Prudential Bluechip Fund","Vedanta Ltd.","0.45"
"ICICI Prudential Bluechip Fund","Wipro Ltd.","0.41"
"ICICI Prudential Bluechip Fund","Hindustan Petroleum Corporation Ltd.","0.41"
"ICICI Prudential Bluechip Fund","Tata Consultancy Services Ltd.","0.37"
"ICICI Prudential Bluechip Fund","Dr. Reddy's Laboratories Ltd.","0.31"
"ICICI Prudential Bluechip Fund","GAIL (India) Ltd.","0.3"
"ICICI Prudential Bluechip Fund","Shree Cement Ltd.","0.29"
"ICICI Prudential Bluechip Fund","Asian Paints Ltd.","0.26"
"ICICI Prudential Bluechip Fund","Titan Co Ltd.","0.24"
"ICICI Prudential Bluechip Fund","Mankind Pharma Ltd.","0.24"
"ICICI Prudential Bluechip Fund","Cipla Ltd.","0.21"
"ICICI Prudential Bluechip Fund","Muthoot Finance Ltd.","0.21"
"ICICI Prudential Bluechip Fund","Nifty 50 Index","0.15"
"ICICI Prudential Bluechip Fund","Syngene International Ltd.","0.11"
"ICICI Prudential Bluechip Fund","JM Financial Ltd.","0.11"
"ICICI Prudential Bluechip Fund","Zee Entertainment Enterprises Ltd.","0.1"
"ICICI Prudential Bluechip Fund","Gujarat Pipavav Port Ltd.","0.09"
"ICICI Prudential Bluechip Fund","Gillette India Ltd.","0.08"
"ICICI Prudential Bluechip Fund","Hindustan Unilever Ltd.","0.08"
"ICICI Prudential Bluechip Fund","Birla Corporation Ltd.","0.05"
"ICICI Prudential Bluechip Fund","Dabur India Ltd.","0.05"
"ICICI Prudential Bluechip Fund","Alkem Laboratories Ltd.","0.02"
